side,entry_price,exit_price,qty,timestamp,pnl
long,119743.74,119959.47,2,2025-07-23 00:40:35.400478,0.0036031946221154595
long,119725.79,119660.0,10,2025-07-23 00:51:25.310824,-0.0054950566623944265
long,119650.0,119582.61,10,2025-07-23 00:52:27.315938,-0.00563226076055156
