timestamp,open,high,low,close,volume,trade_count,notional
1753635397,,,,,0,0,0
1753635398,,,,,0,0,0
1753635399,0.23761,0.2377,0.23759,0.23759,9688.0,25,2301.98
1753635401,0.2376,0.23771,0.23751,0.23765,359472.0,185,85397.81
1753635402,0.23761,0.23765,0.23748,0.23749,480508.0,164,114135.98
1753635403,0.23748,0.23761,0.23747,0.23748,62346.0,93,14806.49
1753635404,0.23758,0.23762,0.23747,0.23747,1474007.0,167,350098.18
1753635405,0.23757,0.2376,0.23744,0.23745,498549.0,233,118395.56
1753635406,0.23746,0.23764,0.23746,0.23758,374240.0,116,88884.75
1753635407,0.23749,0.23762,0.23747,0.23748,367313.0,94,87255.55
1753635408,0.23747,0.23757,0.23744,0.23744,182474.0,82,43332.46
1753635409,0.23744,0.23765,0.23744,0.23765,364616.0,159,86607.9
1753635410,0.23755,0.23766,0.23742,0.23757,781688.0,227,185638.27
1753635411,0.23742,0.23755,0.23739,0.23745,366638.0,201,87053.51
1753635412,0.23746,0.2376,0.23746,0.23756,181706.0,81,43152.6
1753635413,0.23748,0.23764,0.23747,0.23747,392964.0,126,93333.45
1753635414,0.23749,0.2376,0.23738,0.23752,202225.0,248,48024.82
1753635415,0.23741,0.23759,0.23741,0.23758,373251.0,157,88655.38
1753635416,0.23746,0.23764,0.23743,0.23748,682299.0,164,162020.76
1753635417,0.23749,0.23767,0.23749,0.23763,514188.0,155,122128.98
1753635418,0.23753,0.23767,0.23753,0.23753,21810.0,20,5180.55
1753635419,0.23752,0.23767,0.23748,0.23749,877492.0,188,208426.61
1753635420,0.2375,0.23764,0.23743,0.23756,177217.0,122,42087.19
1753635421,0.23753,0.2376,0.23745,0.2376,332846.0,68,79039.56
1753635422,0.23754,0.2376,0.23743,0.23758,127165.0,65,30200.33
1753635423,0.23757,0.23758,0.23742,0.23742,41911.0,39,9952.45
1753635424,0.0,0.23756,0.0,0.2375,147711.0,148,35077.21
1753635425,0.23737,0.23751,0.23735,0.23735,277585.0,125,65894.4
1753635426,0.23734,0.23747,0.23733,0.23735,346372.0,178,82211.76
1753635427,0.23735,0.2375,0.23733,0.23739,367443.0,118,87213.13
