trade_id,order_id,symbol,side,entry_price,exit_price,quantity,leverage,pnl,timestamp
f5b950a4-b4b7-40f1-97b0-1210ca864e7e,c0c65ec2-d0cb-4a2e-964c-2663f69f3e92,BTCUSDT,sell,117666.42,,4.249300692585021,100,0.0,2025-07-22 06:23:58.482837
296d9577-277f-4e66-8036-44f98ea37b4c,,BTCUSDT,short,117666.42,117688.94,4.249300692585021,100,-95.694251597032,2025-07-22 06:28:40.767536
f0110d93-ba57-4da6-b4d4-c83478213b61,2224ea59-a900-44c1-b842-04baab2819b1,BTCUSDT,sell,117699.96,,4.2440246261937125,100,0.0,2025-07-22 06:29:11.161309
6b52b0bf-c3da-4d8d-b1e0-aa46c9b3fff5,,BTCUSDT,short,117699.96,117600.01,4.2440246261937125,100,424.19026138811097,2025-07-22 06:33:53.254517
26a2f18e-d948-45cf-b91d-0f7ae5ba880c,91a7e957-6de6-461a-b6b2-4394178a0d04,BTCUSDT,buy,117623.06,,4.264831063304725,100,0.0,2025-07-22 06:34:09.253983
4b7a018d-65d9-47f3-84de-368049010e83,,BTCUSDT,long,117623.06,117620.01,4.264831063304725,100,-13.007734743091824,2025-07-22 06:38:52.698497
ed44278e-2dd0-469f-9923-f538045bc796,9efea693-2a55-4deb-9a84-65c1775e991a,BTCUSDT,buy,117603.9,,4.264972856982124,100,0.0,2025-07-22 06:39:21.895169
47a12d74-19aa-418c-b51d-ecea9d2d0e9e,,BTCUSDT,long,117603.9,117566.04,4.264972856982124,100,-161.4718723653457,2025-07-22 06:44:03.465333
aeb11597-bbc5-4dbf-9219-2e035a36ec42,785ebf71-22a9-4736-bb31-572bd003c45f,BTCUSDT,buy,117551.29,,4.260013497201207,100,0.0,2025-07-22 06:45:18.796166
9ed0fbcc-5187-4a4b-9b50-e701e5d77f6a,,BTCUSDT,long,117551.29,117627.75,4.260013497201207,100,325.72063199603156,2025-07-22 06:50:02.076598
6bb99d61-5858-4c93-a014-230948b4ec81,33eeeff5-ac80-4790-8433-e8ef3dfeb56f,BTCUSDT,buy,117652.4,,4.27019495712279,100,0.0,2025-07-22 06:50:33.002766
b25721da-0023-49b6-beab-3c51adeb2e3c,,BTCUSDT,long,117652.4,117739.62,4.27019495712279,100,372.4464041602547,2025-07-22 06:55:16.113965
c30c09f5-ac69-4d6a-aa02-d986cd954d2d,d6e193a1-e701-47d7-8de8-7cd9db95f1db,BTCUSDT,buy,117754.0,,4.28232516257787,100,0.0,2025-07-22 06:55:26.049445
32fbf0ad-b443-40a5-9c6b-6272b51648f9,,BTCUSDT,long,117754.0,117687.75,4.28232516257787,100,-283.7040420207839,2025-07-22 06:56:21.087329
3c49ea56-7e18-4476-9637-e3cedcb65003,c6a425e6-070d-4d6f-a50c-2de48e3bf0c5,BTCUSDT,buy,117690.61,,4.272578729807677,100,0.0,2025-07-22 06:56:33.019496
36b8ce10-ecc9-4157-bf80-4411e5380cb7,,BTCUSDT,long,117690.61,117820.01,4.272578729807677,100,552.8716876370885,2025-07-22 07:01:14.740324
b7e8d87c-4ab0-42a3-8f30-08bd42c4b92f,0248ac9f-6209-4bdd-a7ca-7baa311db108,BTCUSDT,buy,117934.0,,4.287200938001561,100,0.0,2025-07-22 07:01:55.255021
60d59198-0fe4-4832-a312-f1bbe8265ad7,,BTCUSDT,long,117934.0,117865.49,4.287200938001561,100,-293.7161362624645,2025-07-22 07:03:12.716061
b6adf7c4-2fe3-41c9-8e3d-3658cf240ad9,d973064b-f3fa-43fb-a968-86d0f0da54ed,BTCUSDT,buy,117865.59,,4.277229467404047,100,0.0,2025-07-22 07:04:05.387316
0ff6ee25-4490-4fad-a467-ac482e9930d0,,BTCUSDT,long,117865.59,118141.0,4.277229467404047,100,1177.9917676177636,2025-07-22 07:08:43.210848
a4ec837b-09c7-427f-bb68-1a449f749bc5,7e1020bc-bff7-4eab-a390-202c86bce3e1,BTCUSDT,buy,118130.07,,4.317513174918567,100,0.0,2025-07-22 07:09:15.662941
263bd315-0944-4ba0-bbef-8303a72a5297,,BTCUSDT,long,118130.07,118250.01,4.317513174918567,100,517.8425301996801,2025-07-22 07:13:57.169648
b6f5e06b-03d2-4789-9cc6-701985ad71c2,982fc7dd-d9c0-4e3f-a737-7d9bdccdebf2,BTCUSDT,buy,118260.07,,4.33466127857062,100,0.0,2025-07-22 07:14:25.573300
d3586c0f-82d5-4335-970c-6c0ca0f785ef,,BTCUSDT,long,118260.07,118310.67,4.33466127857062,100,219.3338606956355,2025-07-22 07:19:07.153653
e5419147-b13b-4ddc-a77e-efbe3def3ee0,d34917ca-8002-42e2-b920-01d9e1ff7cfd,BTCUSDT,buy,118310.68,,4.342076434126904,100,0.0,2025-07-22 07:19:58.121106
d5d8d92f-875b-422c-aa74-bde7960b730b,,BTCUSDT,long,118310.68,118371.52,4.342076434126904,100,264.1719302523288,2025-07-22 07:24:41.433629
f642da28-db74-4882-bd92-0f0f6bd9b731,3486b6dd-e296-4b49-848b-d7a39dfdaffe,BTCUSDT,buy,118393.32,,4.350202149790129,100,0.0,2025-07-22 07:25:11.816067
efc52a86-21e0-4a37-acc3-e2bfb161593c,,BTCUSDT,long,118393.32,118584.74,4.350202149790129,100,832.7156955128189,2025-07-22 07:29:55.191755
7bdada9b-0aab-450d-a482-80138a7bcd36,bcf0bc4c-f2d4-42e1-ac31-6faf19e08aaf,BTCUSDT,buy,118572.59,,4.378739248778785,100,0.0,2025-07-22 07:30:35.723124
da0f5547-b2b6-4d0c-a149-dbb338cd1631,,BTCUSDT,long,118572.59,118511.38,4.378739248778785,100,-268.02262941771374,2025-07-22 07:30:53.820085
f712da59-8d8e-4eb4-bf40-532fbced323b,722b639a-9486-4ada-9fc1-70cfd4caa410,BTCUSDT,buy,118499.51,,4.3701306487703295,100,0.0,2025-07-22 07:31:05.752864
b1a5ca64-9adc-45fe-ab71-bfa7a3b7d880,,BTCUSDT,long,118499.51,118438.77,4.3701306487703295,100,-265.4417356062691,2025-07-22 07:31:58.751692
bc153efc-6ec8-4a9a-a6e1-8c77087d423b,9d28ce6d-44d2-41de-b712-5b592ba7ae3f,BTCUSDT,buy,118405.51,,4.362391005597923,100,0.0,2025-07-22 07:32:14.804158
c92a8ba0-990c-4555-863b-d8b58ed96e70,,BTCUSDT,long,118405.51,118336.69,4.362391005597923,100,-300.21974900521604,2025-07-22 07:32:34.895
d4734f6e-ed6e-4af2-b015-1153a6fa547e,05dfd741-a8ae-4ade-8b32-2e6e9af043ea,BTCUSDT,buy,118345.02,,4.35193667711754,100,0.0,2025-07-22 07:33:03.218198
f825afeb-9241-45ce-bcd7-58f0643511b3,,BTCUSDT,long,118345.02,118269.88,4.35193667711754,100,-327.00452191860944,2025-07-22 07:33:17.175785
6ca0cf7d-5776-4725-9ba2-a38786b5bbfb,bf07e92b-e0e7-4f92-a720-f603caff7c23,BTCUSDT,buy,118256.19,,4.341379596980214,100,0.0,2025-07-22 07:33:27.077144
bc213b52-bc90-4dd4-a0e9-f878448c221f,,BTCUSDT,long,118256.19,118289.37,4.341379596980214,100,144.04697502777316,2025-07-22 07:38:08.870705
6f332908-6030-4a66-aef1-dc0419c9ebe3,a2a5de47-0d18-40ed-8110-d170c96d7299,BTCUSDT,buy,118278.42,,4.34665296812178,100,0.0,2025-07-22 07:38:16.716208
eeb3b0b9-7d4f-4a84-bfea-4cb8ea2982ff,,BTCUSDT,long,118278.42,118217.37,4.34665296812178,100,-265.3631637038473,2025-07-22 07:40:39.492369
bcff88d4-6e7c-4152-9513-be607038fb29,2ff66e2a-fca9-49e3-8d9d-309b79693094,BTCUSDT,buy,118217.1,,4.337684053654126,100,0.0,2025-07-22 07:40:47.273598
626c1087-7751-4b55-9391-c9ec3de36fef,,BTCUSDT,long,118217.1,118155.18,4.337684053654126,100,-268.589396602319,2025-07-22 07:41:34.033875
b61f6ae6-1ff9-408b-b322-f0e4c682bad7,a81429f0-cabe-47dc-8b8f-801e0bf5423c,BTCUSDT,buy,118150.43,,4.328765308397301,100,0.0,2025-07-22 07:41:41.844359
bbefbf5f-bce4-408b-84b7-2f10ebe04718,,BTCUSDT,long,118150.43,118199.01,4.328765308397301,100,210.29141868194844,2025-07-22 07:46:25.205776
